model,category,prompt_id,version,duration,time_seconds
hunyuanvideo_1_5_distilled,lifestyle,5,short,15s,436.54
hunyuanvideo_1_5_distilled,lifestyle,5,medium,5s,61.83
hunyuanvideo_1_5_distilled,lifestyle,5,medium,10s,209.97
hunyuanvideo_1_5_distilled,lifestyle,5,medium,15s,424.88
hunyuanvideo_1_5_distilled,lifestyle,5,long,5s,60.78
hunyuanvideo_1_5_distilled,lifestyle,5,long,10s,209.36
hunyuanvideo_1_5_distilled,lifestyle,5,long,15s,425.77
hunyuanvideo_1_5_distilled,plant,1,short,5s,58.81
hunyuanvideo_1_5_distilled,plant,1,short,10s,171.85
hunyuanvideo_1_5_distilled,plant,1,short,15s,340.7
hunyuanvideo_1_5_distilled,plant,1,medium,5s,58.8
hunyuanvideo_1_5_distilled,plant,1,medium,10s,171.91
hunyuanvideo_1_5_distilled,plant,1,medium,15s,340.67
hunyuanvideo_1_5_distilled,plant,1,long,5s,58.86
hunyuanvideo_1_5_distilled,plant,1,long,10s,172.05
hunyuanvideo_1_5_distilled,plant,1,long,15s,340.63
hunyuanvideo_1_5_distilled,plant,2,short,5s,58.87
hunyuanvideo_1_5_distilled,plant,2,short,10s,171.96
hunyuanvideo_1_5_distilled,plant,2,short,15s,340.85
hunyuanvideo_1_5_distilled,plant,2,medium,5s,58.88
hunyuanvideo_1_5_distilled,plant,2,medium,10s,172.11
hunyuanvideo_1_5_distilled,plant,2,medium,15s,340.77
hunyuanvideo_1_5_distilled,plant,2,long,5s,58.87
hunyuanvideo_1_5_distilled,plant,2,long,10s,172.14
hunyuanvideo_1_5_distilled,plant,2,long,15s,341.05
hunyuanvideo_1_5_distilled,plant,3,short,5s,58.83
hunyuanvideo_1_5_distilled,plant,3,short,10s,171.97
hunyuanvideo_1_5_distilled,plant,3,short,15s,340.73
hunyuanvideo_1_5_distilled,plant,3,medium,5s,58.71
hunyuanvideo_1_5_distilled,plant,3,medium,10s,171.95
hunyuanvideo_1_5_distilled,plant,3,medium,15s,340.8
hunyuanvideo_1_5_distilled,plant,3,long,5s,58.85
hunyuanvideo_1_5_distilled,plant,3,long,10s,172.05
hunyuanvideo_1_5_distilled,plant,3,long,15s,340.94
hunyuanvideo_1_5_distilled,plant,4,short,5s,58.73
hunyuanvideo_1_5_distilled,plant,4,short,10s,171.92
hunyuanvideo_1_5_distilled,plant,4,short,15s,340.77
hunyuanvideo_1_5_distilled,plant,4,medium,5s,58.78
hunyuanvideo_1_5_distilled,plant,4,medium,10s,171.99
hunyuanvideo_1_5_distilled,plant,4,medium,15s,341.03
hunyuanvideo_1_5_distilled,plant,4,long,5s,58.82
hunyuanvideo_1_5_distilled,plant,4,long,10s,172.0
hunyuanvideo_1_5_distilled,plant,4,long,15s,341.2
hunyuanvideo_1_5_distilled,plant,5,short,5s,58.87
hunyuanvideo_1_5_distilled,plant,5,short,10s,171.9
hunyuanvideo_1_5_distilled,plant,5,short,15s,340.52
hunyuanvideo_1_5_distilled,plant,5,medium,5s,58.75
hunyuanvideo_1_5_distilled,plant,5,medium,10s,171.92
hunyuanvideo_1_5_distilled,plant,5,medium,15s,340.59
hunyuanvideo_1_5_distilled,plant,5,long,5s,58.96
